"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sCF.sim.4",89.66,90.32,90.15,67.73,28.78,67.57,65.25,61.78,15.52,100,80.53,32.87,78.97,81.14,62.19,55.17,58.18,76.09,92.18,83.93,86.8,82.15,70.08,82.99,92.28,87.53,0,43,96,56.06,83.01,80.8,78.25,66.5,24.5,86.51,89.85,2.67,79.2,52.5,67.967
"sDF1.sim.4",0,5.08,3.52,17.59,39.97,16.18,12,5.18,21.89,0,1.92,48.72,12.98,8.97,10.91,10.43,21.7,17.49,0,8.38,5.03,0,20.92,9.91,2.62,0,13.5,0,1,25.55,11.59,11.02,4.92,31,17.5,5.48,4.12,0,3.42,47.5,11.95
"sDF2.sim.4",10.34,4.6,6.33,14.69,31.24,16.25,22.75,33.04,49.59,0,17.55,18.4,8.05,9.88,26.91,34.4,20.12,6.41,7.82,7.69,8.17,17.85,9,7.1,5.1,12.47,63.5,4,0,18.39,5.4,8.19,16.83,2.5,0,8.01,6.03,97.33,17.38,0,16.333
"sN.4",5.07,10.09,7.41,10,6.51,6.16,4.9,4.06,1.96,6.59,5.19,5.51,5.53,5.71,6.43,8.05,3.79,3.48,3.05,3.66,10.95,3.57,10.98,15.73,13.06,4.46,1.14,0.58,0.99,21.81,26.92,5.02,1.85,1.83,0.59,9.5,8.88,1.97,2.52,1.95,6.436
"br.length.4",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.4.dnet",NA,0.528,0.489,0.329,0.342,0.36,0.242,0.099,0.257,NA,0.246,0.22,0.363,0.432,0.192,0.136,0.319,0.275,NA,0.46,0.45,NA,0.243,0.421,0.518,NA,NA,NA,NA,0.266,0.375,0.403,0.276,0.093,NA,0.456,0.5,NA,0.258,NA,0.329
"sim.4.dtree",NA,0.102,0.104,0.385,0.858,0.387,0.421,0.472,0.538,NA,0.216,0.69,0.235,0.208,0.466,0.578,0.529,0.271,NA,0.175,0.141,NA,0.352,0.186,0.08,NA,NA,NA,NA,0.563,0.186,0.212,0.244,0.402,NA,0.145,0.107,NA,0.232,NA,0.327
"sim.4.entrop",NA,0.35,0.351,0.775,0.991,0.778,0.792,0.743,0.882,NA,0.506,0.935,0.596,0.559,0.81,0.847,0.882,0.627,NA,0.503,0.435,NA,0.722,0.52,0.292,NA,NA,NA,NA,0.896,0.512,0.565,0.583,0.661,NA,0.443,0.361,NA,0.55,NA,0.637
"sim.4.icert",0.52,0.7,0.651,0.266,0.011,0.291,0.175,0.067,0.111,NA,0.322,0.027,0.413,0.504,0.116,0.039,0.156,0.305,0.604,0.561,0.577,0.323,0.222,0.51,0.704,0.457,0.33,0.58,0.917,0.103,0.463,0.471,0.327,0.098,0.02,0.581,0.661,0.822,0.32,0.002,0.367
"sim.4.binp",0.004,0,0,0.02,0.429,0.1,0.21,0.111,0.556,0,0.045,0.32,0.1,0.018,0.1,0.259,0.407,0.037,0.037,0.111,0,0.111,0.009,0,0,0.012,0.333,1,0.333,0.033,0,0.045,0.556,0.556,1,0.003,0.001,0.111,0.259,0.556,0.195
"sim.4.dstat",1,0.05,0.285,0.09,0.041,0.002,0.309,0.729,0.17,NA,0.803,0.282,0.234,0.048,0.423,0.535,0.038,0.464,1,0.043,0.238,1,0.398,0.165,0.321,1,1,1,1,0.163,0.364,0.147,0.548,0.851,1,0.188,0.188,1,0.671,1,0.482
