"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.5.icert",0.896,0.732,0.65,0.166,0.056,0.018,0.082,0.349,0.156,NA,0.15,0.155,0.482,0.132,0.001,0.297,0.09,0.623,0.617,0.009,0.916,0.105,0.235,0.327,0.735,0.641,0.677,0.006,0.087,0.222,0.448,0.613,0.052,0.197,0.356,0.399,0.637,0.001,0.238,0.534,0.336
"sim.5.binp",0.001,0,0,0.019,0.173,0.441,0.259,0.008,0.1,0.001,0.173,0.173,0.003,0.088,0.623,0.02,0.259,0.004,0.018,1,0,0.259,0.019,0,0,0.556,NA,1,0.556,0.004,0,0.018,0.407,0.111,0.045,0.002,0,0.802,0.1,0.333,0.194
"sim.5.dstat",0.089,0.291,0.133,0.509,0.198,0.046,0.252,0.108,0.084,NA,0.461,0.453,0.169,0.404,0.062,0.327,0.101,0.173,0.862,0.03,0.316,1,0.161,0.179,0.604,0.625,0.333,0.243,1,0.349,0.211,0.012,0.876,0.429,0.59,0.252,1,0.024,1,1,0.383
"sim.5.kcstat",438.273,45.1,57.231,3.637,3.302,5.24,3.496,21.456,11.874,NA,3.577,3.685,23.804,3.525,1.584,7.581,6.844,40.61,13.294,5.419,195.74,2.212,10.002,13.042,27.866,17.5,31,1.489,2.046,5.536,17.71,465.706,1.777,4.474,6.506,12.974,13.472,2.847,3.529,9.105,39.591
"sCF.sim.6",93.42,87.36,81.25,47.77,24.88,47.92,51.16,43.55,65.85,69,64.31,37.75,71.45,76.86,44.23,86.67,70.37,63.07,69.67,66.05,87.92,89.5,40.45,82.74,90.21,51.55,59.58,91.08,100,53.93,82.52,89.61,43.83,75.16,97.42,77.82,87.25,0,61.6,81,67.644
"br.length.6",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.6.dnet",0.569,0.463,0.328,0.145,0.314,0.205,0.221,0.267,0.24,NA,0.222,0.36,0.2,0.229,0.265,0.479,0.297,0.279,NA,0.225,0.402,NA,0.322,0.449,0.481,0.121,0.173,NA,NA,0.228,0.436,0.48,0.185,0.196,NA,0.301,NA,NA,0.153,NA,0.298
"sim.6.dtree",0.068,0.135,0.207,0.707,0.711,0.704,0.646,0.766,0.412,NA,0.434,0.904,0.333,0.262,0.773,0.143,0.348,0.453,NA,0.409,0.129,NA,0.848,0.189,0.103,0.639,0.369,NA,NA,0.599,0.192,0.11,0.53,0.284,NA,0.249,NA,NA,0.475,NA,0.424
"sim.6.entrop",0.262,0.423,0.537,0.898,0.96,0.934,0.922,0.967,0.783,NA,0.797,0.996,0.677,0.585,0.968,0.441,0.733,0.827,NA,0.775,0.391,NA,0.988,0.527,0.348,0.861,0.734,NA,NA,0.905,0.532,0.365,0.851,0.598,NA,0.602,NA,NA,0.795,NA,0.709
"sim.6.icert",0.78,0.596,0.401,0.007,0.052,0.019,0.043,0.017,0.18,NA,0.153,0.005,0.204,0.275,0.015,0.608,0.268,0.179,0.123,0.171,0.535,0.515,0.009,0.537,0.642,0.017,0.166,0.566,NA,0.066,0.521,0.636,0.074,0.235,0.827,0.344,0.449,0.177,0.091,0.778,0.297
"sim.6.binp",0.045,0,0,0.172,0.173,0.213,0.259,0.407,0.21,0.333,0.407,0.539,0.002,0.02,0.532,0,0.1,0.259,0.556,0.111,0,0.111,0.35,0,0,0.407,0.259,0.111,0.012,0.173,0,0.001,0.333,0.045,0.037,0.004,0,0.556,0.111,0.333,0.18
